id,subject,question_type,direction,reason,detail,gold,r1_status,r1_tokens,r1_answer,r2_status,r2_tokens,r2_answer,r1_task1_category
validation_Accounting_17,Accounting,multiple-choice,R->W,2차에 루프에 빠짐,run1 finished at 7451 tokens,"C. $126,925",finished,7451,C,loop,32768,(truncated),(1차 정답)
validation_Architecture_and_Engineering_13,Architecture_and_Engineering,multiple-choice,R->W,2차에 루프에 빠짐,run1 finished at 13210 tokens,B. 4.12 mm,finished,13210,B,loop,32768,(truncated),(1차 정답)
validation_Architecture_and_Engineering_20,Architecture_and_Engineering,multiple-choice,R->W,2차에 루프에 빠짐,run1 finished at 13914 tokens,"B. Side width $w_{1}$ = 37.5 m,Side width $w_{2}$ = 25.0 m,Total area = 418.75 $m^{2}$",finished,13914,B,loop,32768,(truncated),(1차 정답)
validation_Architecture_and_Engineering_9,Architecture_and_Engineering,multiple-choice,R->W,2차에 루프에 빠짐,run1 finished at 13432 tokens,B. 14583 $m^{3}$,finished,13432,B,loop,32768,(truncated),(1차 정답)
validation_Biology_4,Biology,multiple-choice,R->W,2차에 루프에 빠짐,run1 finished at 498 tokens,B. autosomal dominant (AD),finished,498,B,loop,32768,(truncated),(1차 정답)
validation_Electronics_17,Electronics,multiple-choice,R->W,2차에 루프에 빠짐,run1 finished at 13436 tokens,A. 10e^{-0.8t} V,finished,13436,A,loop,32768,(truncated),(1차 정답)
validation_Electronics_22,Electronics,multiple-choice,R->W,2차에 루프에 빠짐,run1 finished at 10568 tokens,C. [70.7 cos (20t - 45^{\circ})] u(t) V,finished,10568,C,loop,32768,(truncated),(1차 정답)
validation_Energy_and_Power_18,Energy_and_Power,multiple-choice,R->W,2차에 루프에 빠짐,run1 finished at 6297 tokens,C. 0.3 kW,finished,6297,C,loop,32768,(truncated),(1차 정답)
validation_Energy_and_Power_23,Energy_and_Power,multiple-choice,R->W,2차에 루프에 빠짐,run1 finished at 6473 tokens,A. 0.152 m,finished,6473,A,loop,32768,(truncated),(1차 정답)
validation_Energy_and_Power_3,Energy_and_Power,multiple-choice,R->W,2차에 루프에 빠짐,run1 finished at 4559 tokens,C. 5.25 kg/s,finished,4559,C,loop,32768,(truncated),(1차 정답)
validation_Energy_and_Power_7,Energy_and_Power,multiple-choice,R->W,2차에 루프에 빠짐,run1 finished at 10109 tokens,"C. 4.87, 30.8 kW",finished,10109,C,loop,32768,(truncated),(1차 정답)
validation_Finance_9,Finance,multiple-choice,R->W,2차에 루프에 빠짐,run1 finished at 2942 tokens,D. $7 million,finished,2942,D,loop,32768,(truncated),(1차 정답)
validation_History_12,History,multiple-choice,R->W,2차에 루프에 빠짐,run1 finished at 1145 tokens,A. Phillip II and Mary I,finished,1145,A,loop,32768,(truncated),(1차 정답)
validation_Materials_1,Materials,multiple-choice,R->W,2차에 루프에 빠짐,run1 finished at 12014 tokens,B. 1.57,finished,12014,B,loop,32768,(truncated),(1차 정답)
validation_Materials_17,Materials,multiple-choice,R->W,2차에 루프에 빠짐,run1 finished at 4427 tokens,C. 121 psi,finished,4427,C,loop,32768,(truncated),(1차 정답)
validation_Materials_5,Materials,multiple-choice,R->W,2차에 루프에 빠짐,run1 finished at 3545 tokens,B. 148 kg,finished,3545,B,loop,32768,(truncated),(1차 정답)
validation_Music_18,Music,multiple-choice,R->W,2차에 루프에 빠짐,run1 finished at 1462 tokens,B. c melodic minor scale,finished,1462,B,loop,32768,(truncated),(1차 정답)
validation_Music_5,Music,multiple-choice,R->W,2차에 루프에 빠짐,run1 finished at 1031 tokens,B. False,finished,1031,B,loop,32768,(truncated),(1차 정답)
validation_Pharmacy_24,Pharmacy,multiple-choice,R->W,2차에 루프에 빠짐,run1 finished at 2030 tokens,A. Topoisomerase poison,finished,2030,A,loop,32768,(truncated),(1차 정답)
validation_Public_Health_28,Public_Health,multiple-choice,R->W,2차에 루프에 빠짐,run1 finished at 8750 tokens,C. 12.96,finished,8750,C,loop,32768,(truncated),(1차 정답)
validation_Energy_and_Power_17,Energy_and_Power,multiple-choice,R->W,둘 다 루프 - 우연 일치 여부만 다름,1차 loop text matched by chance,A. 50 m,loop,16384,(truncated),loop,32768,(truncated),(1차 정답)
validation_Energy_and_Power_9,Energy_and_Power,multiple-choice,R->W,둘 다 루프 - 우연 일치 여부만 다름,1차 loop text matched by chance,C. 26100 Pa,loop,16384,(truncated),loop,32768,(truncated),(1차 정답)
validation_Finance_5,Finance,multiple-choice,R->W,둘 다 루프 - 우연 일치 여부만 다름,1차 loop text matched by chance,"D. the cost of merger through stocks offer is $5,000,000",loop,16384,(truncated),loop,32768,(truncated),(1차 정답)
validation_Basic_Medical_Science_14,Basic_Medical_Science,open,R->W,"둘 다 완주, 답은 같고 추출·표기가 달라짐",both answer 'genetic engineering / recombinant DNA'; run1 had no marker so the full response was parsed and matched the word 'Transformation' in a step list (false positive); run2 marker -> fail,Transformation,finished,312,"The process illustrated in Figure 1 is **genetic engineering** (specifically, **recombinant DNA technology**), which inv",finished,280,Genetic engineering / Recombinant DNA technology,(1차 정답)
